Fecha;Medio;Año;Posición;Artista;Canción;Nacionalidad;Género
Marzo;Radio;2021;54;Daddy Yankee;Problema;PR;Urbano
Marzo;Radio;2021;55;Karol G, Nicki Minaj;TUSA;CO, US;Urbano
Marzo;Radio;2021;56;Los Legendarios, Wisin, Myke Towers;Mi Niña;PR, PR, PR;Urbano
Marzo;Radio;2021;57;Camilo , Evaluna Montaner;Machu Picchu;CO;Pop
Marzo;Radio;2021;58;Luis Fonsi, Farruko;Perfecta;PR, PR;Pop
Marzo;Radio;2021;59;The Cure;Friday I'm In Love;GB;Rock
Marzo;Radio;2021;60;Ozuna, Karol G , Myke Towers;Caramelo (Remix);PR, DE;Urbano
Marzo;Radio;2021;61;Camilo;Ropa Cara;ES;Pop
Marzo;Radio;2021;62;R.E.M.;Everybody Hurts;US;Rock
Marzo;Radio;2021;63;Soda Stereo;Persiana Americana;AR;Rock
Marzo;Radio;2021;64;Rauw Alejandro , Camilo;TATTOO (REMIX);PR,CO;Urbano
Marzo;Radio;2021;65;Selena Gomez;De Una Vez;US;Pop
Marzo;Radio;2021;66;BTS;Dynamite;KR;Pop
Marzo;Radio;2021;67;Farruko;La Tóxica;PR;Urbano
Marzo;Radio;2021;68;Kali Uchis;Telepatía;US;Pop
Marzo;Radio;2021;69;Sech, Daddy Yankee, Rosalía, Farruko;Relación (Remix);PA, PR, ES, PR;Urbano
Marzo;Radio;2021;70;Play N Skillz, Daddy Yankee, Zion , Lennox;Bésame;US, PR, US;Urbano
Marzo;Radio;2021;71;Lola Indigo, Danna Paola, Denise Rosenthal;Santeria;ES, MX, CL;Pop
Marzo;Radio;2021;72;The Weeknd;In Your Eyes;CA;Pop
Marzo;Radio;2021;73;The Weeknd Feat. Daft Punk;I Feel It Coming;CA;Pop
Marzo;Radio;2021;74;Marc Anthony;Vivir Mi Vida;US;Latino/Tropical
Marzo;Radio;2021;75;Benee Feat. Gus Dapperton;Supalonely;NEZ;Pop
Marzo;Radio;2021;76;Cami;BIG BANG;CL;Pop
Marzo;Radio;2021;77;Donald;Verano Naranja;US;Pop
Marzo;Radio;2021;78;Tainy X J Balvin;Agua;PR;Urbano
Marzo;Radio;2021;79;Sean Paul, El Alfa, Sfera Ebbasta , PlayDIM MAK EN FUEGO;Mambo;JM, DO, IT;Electrónica
Marzo;Radio;2021;80;Nicky Jam , Romeo Santos;Fan De Tus Fotos;US;Urbano
Marzo;Radio;2021;81;Avicii;Wake Me Up;SE;Electrónica
Marzo;Radio;2021;82;Justin Timberlake;CAN'T STOP THE FEELING!;US;Pop
Marzo;Radio;2021;83;Denise Rosenthal;Lucha En Equilibrio;CL;Pop
Marzo;Radio;2021;84;Mon Laferte Feat. Juanes;Amárrame;MX;Pop
Marzo;Radio;2021;85;Denise Rosenthal;Tiene Sabor;CL;Pop
Marzo;Radio;2021;86;Mon Laferte;El Beso;MX;Pop
Marzo;Radio;2021;87;Shawn Mendes , Camila Cabello;Señorita;CA;Pop
Marzo;Radio;2021;88;Bruno Mars;That’s What I Like;US;Pop
Marzo;Radio;2021;89;Capital Cities;Safe And Sound;US;Pop
Marzo;Radio;2021;90;Cardi B;Up;US;Urbano
Marzo;Radio;2021;91;Anitta;Loco;BR;Latino/Tropical
Marzo;Radio;2021;92;Gepe;Fruta Y Té;CL;Folk/Indie
Marzo;Radio;2021;93;Ed Sheeran;Afterglow;GB;Pop
Marzo;Radio;2021;94;Camila Gallardo;Abrázame;CL;Pop
Marzo;Radio;2021;95;Anuel Aa , Ozuna;Antes;PR;Urbano
Marzo;Radio;2021;96;Noche De Brujas;Con El Amor No Se Juega;CL;Latino/Tropical
Marzo;Radio;2021;97;BACILOS;Mi Primer Millón;US;Latino/Tropical
Marzo;Radio;2021;98;Myke Towers, Juhn;Bandido;PR, PR;Urbano
Marzo;Radio;2021;99;Combo Con Clase;Como Tú;CL;Latino/Tropical
Marzo;Radio;2021;100;Justin Bieber;Hold On;CA;Pop
Abril;Radio;2021;1;Sebastián Yatra , Guaynaa;Chica Ideal;CO;Pop
Abril;Radio;2021;2;Bruno Mars, Anderson .Paak, Silk Sonic;Leave The Door Open;US, US, US;Pop
Abril;Radio;2021;3;Maluma;Hawai;CO;Urbano
Abril;Radio;2021;4;Cnco;Tan Enamorados;US;Urbano
Abril;Radio;2021;5;Harry Styles;Watermelon Sugar;GB;Rock
Abril;Radio;2021;6;Kali Uchis;Telepatía;US;Pop
Abril;Radio;2021;7;Daft Punk Feat. Pharrell Williams;Get Lucky;FR;Electrónica
Abril;Radio;2021;8;Karol G, Anuel Aa, J. Balvin;Location;CO, PR, CO;Urbano
Abril;Radio;2021;9;Olivia Rodrigo;Drivers License;US;Pop
Abril;Radio;2021;10;Black Eyed Peas X Shakira;Girl Like Me;US,CO;Pop
Abril;Radio;2021;11;Boza;Hecha Pa' Mí;PA;Urbano
Abril;Radio;2021;12;The Weeknd;Save Your Tears;CA;Pop
Abril;Radio;2021;13;Camilo;Vida De Rico;CO;Pop
Abril;Radio;2021;14;Camilo, El Alfa;Bebe;CO, DO;Pop
Abril;Radio;2021;15;The Weeknd;Blinding Lights;CA;Pop
Abril;Radio;2021;16;Maluma;Agua De Jamaica;CO;Urbano
Abril;Radio;2021;17;Miley Cyrus Feat. Dua Lipa;Prisoner;US,GB;Pop
Abril;Radio;2021;18;Bad Bunny Feat. Jhay Cortez;Dakiti;PR;Urbano
Abril;Radio;2021;19;Paloma Mami;Religiosa;US;Urbano
Abril;Radio;2021;20;Flor De Rap, Denise Rosenthal;Bailalo Mujer;CL;Urbano
Abril;Radio;2021;21;Justin Bieber Feat. Daniel Caesar, Giveon;Peaches;US;Pop
Abril;Radio;2021;22;Jay Wheeler , Dj Nelson Feat. Myke Towers;La Curiosidad;PR;Urbano
Abril;Radio;2021;23;Nio Garcia , Flow La Movie;AM;US;Urbano
Abril;Radio;2021;24;Luigy Boy Y La Florezta;Alo Michael (Rico Rico Rico Rico);CO;Latino/Tropical
Abril;Radio;2021;25;Charles , Eddie;Would I Lie To You?;US;Pop
Abril;Radio;2021;26;Manuel Turizo, Wisin , Yandel;Mala Costumbre;CO, PR;Urbano
Abril;Radio;2021;27;Harry Styles;Golden;GB;Pop
Abril;Radio;2021;28;Dua Lipa;Don't Start Now;GB;Pop
Abril;Radio;2021;29;Karol G;BICHOTA;CO;Urbano
Abril;Radio;2021;30;Carlos Vives, Ricky Martin;Canción Bonita;CO, PR;Pop
Abril;Radio;2021;31;Pharrell Williams;Happy;US;Pop
